Name,Affiliation,Submitted,Accepted,Rejected,AvgScore,AvgAcceptedScore,FirstAuthorCount,LastAuthorCount
Thomas Mensink,Google Research,1,1,0,7.0,7.0,0,0
Cristian Sminchisescu,Lund University,2,2,0,6.75,6.75,0,1
Richard Hartley,Australian National University,1,1,0,7.0,7.0,0,1
Huan Wang,Northeastern University,1,1,0,7.0,7.0,1,0
Can Qin,Northeastern University,2,1,1,5.665,7.0,0,0
Yulun Zhang,Northeastern University,1,1,0,7.0,7.0,0,0
Yun Fu,Northeastern University,3,1,2,5.4433333333333325,7.0,0,3
Kangkang Lu,A*STAR,1,1,0,7.0,7.0,1,0
Cuong Manh Nguyen,A*STAR,1,1,0,7.0,7.0,0,0
Xun Xu,A*STAR,1,1,0,7.0,7.0,0,0
Kiran Chari,National University of Singapore,1,1,0,7.0,7.0,0,0
Yu Jing Goh,National University of Singapore,1,1,0,7.0,7.0,0,0
Chuan-Sheng Foo,"Institute for Infocomm Research, A*STAR",1,1,0,7.0,7.0,0,1
Huang Fang,University of British Columbia,1,1,0,7.0,7.0,1,0
Zhenan Fan,,1,1,0,7.0,7.0,0,0
Michael Friedlander,,1,1,0,7.0,7.0,0,1
Ryohei Shimizu,The University of Tokyo,1,1,0,7.0,7.0,1,0
YUSUKE Mukuta,The University of Tokyo,1,1,0,7.0,7.0,0,0
Tatsuya Harada,RIKEN,2,1,1,6.25,7.0,0,2
Dongsu Zhang,Seoul National University,1,1,0,7.0,7.0,1,0
Changwoon Choi,Seoul National University,1,1,0,7.0,7.0,0,0
Jeonghwan Kim,,1,1,0,7.0,7.0,0,0
Young Min Kim,Seoul National University,1,1,0,7.0,7.0,0,1
Christopher Frye,Faculty,4,1,3,5.5825,7.0,1,0
Damien de Mijolla,University College London,2,1,1,5.875,7.0,1,0
Tom Begley,Faculty,2,1,1,6.165,7.0,1,0
Laurence Cowton,University of Cambridge,1,1,0,7.0,7.0,0,0
Megan Stanley,,1,1,0,7.0,7.0,0,0
Ilya Feige,University College London,5,1,4,5.6659999999999995,7.0,0,3
Max Smith,University of Michigan,1,1,0,7.0,7.0,1,0
Thomas Anthony,DeepMind,2,2,0,6.625,6.625,0,0
Michael Wellman,University of Michigan,1,1,0,7.0,7.0,0,1
Yuhang Li,University of Electronic Science and Technology of China,1,1,0,7.0,7.0,1,0
Ruihao Gong,Beihang University,1,1,0,7.0,7.0,0,0
Xu Tan,"Institute of Computing Technology, Chinese Academy of Sciences",1,1,0,7.0,7.0,0,0
Yang Yang,Sensetime,1,1,0,7.0,7.0,0,0
Peng Hu,"Beihang University, Tsinghua University",1,1,0,7.0,7.0,0,0
Qi Zhang,Beihang University,1,1,0,7.0,7.0,0,0
Fengwei Yu,Beihang University,1,1,0,7.0,7.0,0,0
Wei Wang,National University of Singapore,1,1,0,7.0,7.0,0,0
Shi Gu,"University of Electronic Science and Technology of China, Tsinghua University",2,2,0,6.665,6.665,0,2
Dominik Schmidt,ZI Mannheim,1,1,0,7.0,7.0,1,0
Georgia Koppe,Central Institute of Mental Health,1,1,0,7.0,7.0,0,0
Zahra Monfared,,1,1,0,7.0,7.0,0,0
Max Beutelspacher,,1,1,0,7.0,7.0,0,0
Daniel Durstewitz,Heidelberg University,1,1,0,7.0,7.0,0,1
Ekdeep Singh Lubana,University of Michigan,1,1,0,7.0,7.0,1,0
Robert Dick,University of Michigan,1,1,0,7.0,7.0,0,1
Xingchen Wan,"University of Oxford, University of Oxford",2,1,1,6.0,7.0,1,0
Binxin Ru,University of Oxford,4,1,3,5.022500000000001,7.0,1,0
Xiaowen Dong,University of Oxford,1,1,0,7.0,7.0,0,0
Michael Osborne,University of Oxford,1,1,0,7.0,7.0,0,1
Markus Norman Rabe,Google,4,2,2,6.4,6.625,1,0
Dennis Lee,University of California Berkeley,1,1,0,7.0,7.0,0,0
Kshitij Bansal,Google,2,1,1,6.3,7.0,1,0
Christian Szegedy,Google,3,1,2,6.45,7.0,0,2
Bingchen Liu,Rutgers University,1,1,0,7.0,7.0,1,0
Yizhe Zhu,Rutgers University,1,1,0,7.0,7.0,0,0
Kunpeng Song,Rutgers University,1,1,0,7.0,7.0,0,0
Ahmed Elgammal,Rutgers University New Brunswick,1,1,0,7.0,7.0,0,1
Tonghan Wang,"Tsinghua University, Tsinghua University",2,2,0,6.75,6.75,1,0
Tarun Gupta,University of Oxford,2,1,1,5.875,7.0,1,0
Anuj Mahajan,University of Oxford,2,1,1,5.875,7.0,0,0
Bei Peng,University of Oxford,3,1,2,5.833333333333333,7.0,0,0
Chongjie Zhang,Tsinghua University,7,4,3,5.678571428571429,6.3125,0,7
Zuyue Fu,"Northwestern University, Northwestern University",1,1,0,7.0,7.0,1,0
Zhuoran Yang,Princeton University,6,1,5,5.278333333333333,7.0,0,0
Zhaoran Wang,Northwestern University,7,1,6,5.352857142857142,7.0,0,4
Ishaan Gulrajani,Stanford University,1,1,0,7.0,7.0,1,0
David Lopez-Paz,Facebook,1,1,0,7.0,7.0,0,1
Lingpeng Kong,Google DeepMind,1,1,0,7.0,7.0,0,0
Dani Yogatama,Google DeepMind,1,1,0,7.0,7.0,0,0
Roy Schwartz,"Hebrew University, Hebrew University of Jerusalem",1,1,0,7.0,7.0,0,0
Jun Han,"Tencent, PCG",1,1,0,7.0,7.0,1,0
Martin Renqiang Min,NEC Laboratories America,3,2,1,6.0,6.875,0,1
Ligong Han,Rutgers University,1,1,0,7.0,7.0,0,0
Xuan Zhang,Shanghai Jiao Tong University,1,1,0,7.0,7.0,0,0
Li Erran Li,Amazon,3,2,1,6.0,6.625,0,1
Andrea Agazzi,Duke University,1,1,0,7.0,7.0,1,0
Jianfeng Lu,Duke University,2,1,1,6.0,7.0,0,1
Wenda Li,University of Cambridge,2,1,1,6.875,7.0,1,0
Lei Yu,DeepMind,1,1,0,7.0,7.0,0,0
Yuhuai Wu,"Department of Computer Science, University of Toronto",4,2,2,6.2075,6.875,2,0
Lawrence C. Paulson,,1,1,0,7.0,7.0,0,1
He Zhao,Monash University,1,1,0,7.0,7.0,1,0
Dinh Phung,Monash University,1,1,0,7.0,7.0,0,0
Viet Huynh,Monash University,1,1,0,7.0,7.0,0,0
Trung Le,Monash University,1,1,0,7.0,7.0,0,0
Wray Buntine,Monash University,1,1,0,7.0,7.0,0,1
Akshay Rangamani,Massachusetts Institute of Technology,1,0,1,7.0,0.0,1,0
Lorenzo Rosasco,Università degli Studi di Genova,1,0,1,7.0,0.0,0,0
Tomaso Poggio,,1,0,1,7.0,0.0,0,1
Aashaka Shah,"University of Texas, Austin",1,1,0,7.0,7.0,1,0
Chao-Yuan Wu,University of Texas at Austin,1,1,0,7.0,7.0,0,0
Jayashree Mohan,,1,1,0,7.0,7.0,0,0
Vijay Chidambaram,University of Texas at Austin,1,1,0,7.0,7.0,0,0
Philipp Kraehenbuehl,"University of Texas, Austin",2,1,1,6.5,7.0,0,2
Aayam Kumar Shrestha,Oregon State University,1,1,0,6.8,6.8,1,0
Stefan Lee,Georgia Institute of Technology,3,1,2,5.683333333333334,6.8,0,0
Prasad Tadepalli,Oregon State University,1,1,0,6.8,6.8,0,0
Kyle Aitken,"University of Washington, Seattle",1,1,0,6.8,6.8,1,0
Vinay Venkatesh Ramasesh,University of California Berkeley,2,2,0,6.65,6.65,1,0
Ankush Garg,Google,1,1,0,6.8,6.8,0,0
Yuan Cao,Google Brain,2,2,0,6.775,6.775,0,1
David Sussillo,Google,2,1,1,6.275,6.8,0,0
Niru Maheswaranathan,Google,4,1,3,5.720000000000001,6.8,1,1
William L. Hamilton,McGill University,4,2,2,5.825,6.525,0,1
Guodong Long,University of Technology Sydney,3,2,1,6.183333333333334,6.4,0,0
Jing Jiang,University of Technology Sydney,3,2,1,6.183333333333334,6.4,0,0
Hugo Larochelle,Google,4,1,3,5.6375,6.8,0,1
Yi Ren,Zhejiang University,1,1,0,6.8,6.8,1,0
Chenxu Hu,Zhejiang University,1,1,0,6.8,6.8,0,0
Xu Tan,Microsoft,3,2,1,6.3500000000000005,6.525,0,0
Tao Qin,Tsinghua University,9,4,5,5.7555555555555555,6.3875,0,0
Sheng Zhao,,1,1,0,6.8,6.8,0,0
Zhou Zhao,Zhejiang University,3,1,2,5.3500000000000005,6.8,0,0
Tie-Yan Liu,Microsoft,13,7,6,5.926923076923076,6.471428571428571,0,13
Arash Tavakoli,Imperial College London,1,1,0,6.8,6.8,1,0
Mehdi Fatemi,Microsoft,2,1,1,6.4,6.8,0,1
Petar Kormushev,,1,1,0,6.8,6.8,0,1
Nikunj Saunshi,Princeton University,2,1,1,6.4,6.8,1,0
Sadhika Malladi,Princeton University,1,1,0,6.8,6.8,0,0
Abdul Fatir Ansari,National University of Singapore,1,1,0,6.8,6.8,1,0
Ming Liang Ang,National University of Singapore,1,1,0,6.8,6.8,0,0
Harold Soh,National University of Singapore,1,1,0,6.8,6.8,0,1
Wonseok Jeon,MILA/McGill University,1,1,0,6.8,6.8,1,0
Chen-Yang Su,MILA/McGill University,1,1,0,6.8,6.8,0,0
Paul Barde,"Montreal Institute for Learning Algorithms, University of Montreal, University of Montreal",1,1,0,6.8,6.8,0,0
Thang Doan,McGill University,2,1,1,6.0649999999999995,6.8,0,0
Joelle Pineau,Facebook,5,2,3,5.96,6.775,0,2
Jorge A Mendez,University of Pennsylvania,1,1,0,6.8,6.8,1,0
ERIC EATON,University of Pennsylvania,2,1,1,6.275,6.8,0,2
Honglu Zhou,Rutgers University,1,1,0,6.75,6.75,1,0
Asim Kadav,NEC Labs,1,1,0,6.75,6.75,0,0
Farley Lai,"NEC Laboratories America, Inc.",1,1,0,6.75,6.75,0,0
Alexandru Niculescu-Mizil,NEC-Labs,1,1,0,6.75,6.75,0,0
Mubbasir Kapadia,,1,1,0,6.75,6.75,0,0
Hans Peter Graf,,1,1,0,6.75,6.75,0,1
Preetum Nakkiran,Harvard University,3,2,1,5.916666666666667,6.125,3,0
Prayaag Venkat,,1,1,0,6.75,6.75,0,0
Xiaobo Xia,University of Sydney,2,1,1,5.675,6.75,1,0
Tongliang Liu,University of Sydney,5,1,4,5.37,6.75,0,1
Chen Gong,Nanjing University of Science and Technology,1,1,0,6.75,6.75,0,0
Nannan Wang,Xidian University,2,1,1,5.675,6.75,0,0
Zongyuan Ge,Monash University,1,1,0,6.75,6.75,0,0
Yi Chang,,1,1,0,6.75,6.75,0,1
Emilio Parisotto,"School of Computer Science, Carnegie Mellon University",2,1,1,6.5,6.75,1,0
Russ Salakhutdinov,Carnegie Mellon University,1,1,0,6.75,6.75,0,1
Valerie Chen,Carnegie Mellon University,1,1,0,6.75,6.75,1,0
Abhinav Gupta,Facebook,3,1,2,5.166666666666667,6.75,0,2
Kenneth Marino,"School of Computer Science, Carnegie Mellon University",2,1,1,5.25,6.75,1,1
Chen-Yu Wei,University of Southern California,1,1,0,6.75,6.75,1,0
Chung-Wei Lee,University of Southern California,1,1,0,6.75,6.75,0,0
Mengxiao Zhang,University of Southern California,2,1,1,6.375,6.75,0,0
Haipeng Luo,University of Southern California,1,1,0,6.75,6.75,0,1
Yao-Hung Hubert Tsai,Carnegie Mellon University,3,2,1,5.776666666666666,6.5,2,0
Martin Q. Ma,"School of Computer Science, Carnegie Mellon University",1,1,0,6.75,6.75,0,0
Muqiao Yang,"School of Computer Science, Carnegie Mellon University",1,1,0,6.75,6.75,0,0
Han Zhao,Carnegie Mellon University,5,2,3,5.5,6.375,1,0
Louis-Philippe Morency,Carnegie Mellon University,3,2,1,6.333333333333333,6.5,0,1
Ruslan Salakhutdinov,Carnegie-Mellon University,7,4,3,6.104285714285714,6.5375,0,2
Rianne van den Berg,Google,1,1,0,6.75,6.75,1,0
Alexey A. Gritsenko,Google,1,1,0,6.75,6.75,0,0
Casper Kaae Sønderby,Google,1,1,0,6.75,6.75,0,0
Tim Salimans,Google,1,1,0,6.75,6.75,0,1
Lin Chen,University of California Berkeley,2,1,1,6.0,6.75,2,0
Sheng Xu,Yale University,1,1,0,6.75,6.75,0,1
Abhishek Sinha,Stanford University,3,1,2,6.333333333333333,6.75,1,0
Yutong He,"Computer Science Department, Stanford University",1,0,1,6.75,0.0,0,0
Aidan Perreault,Stanford University,1,0,1,6.75,0.0,0,0
Oliver Cobb,Kagenova Ltd,1,1,0,6.75,6.75,1,0
Christopher G. R. Wallis,,1,1,0,6.75,6.75,0,0
Augustine N. Mavor-Parker,,1,1,0,6.75,6.75,0,0
Augustin Marignier,,1,1,0,6.75,6.75,0,0
Matthew A. Price,,1,1,0,6.75,6.75,0,0
Mayeul d'Avezac,,1,1,0,6.75,6.75,0,0
Jason McEwen,University College London,1,1,0,6.75,6.75,0,1
Ziyu Yao,Ohio State University,1,1,0,6.75,6.75,1,0
Frank F. Xu,Carnegie Mellon University,1,1,0,6.75,6.75,0,0
Pengcheng Yin,Microsoft,1,1,0,6.75,6.75,0,0
Huan Sun,Ohio State University,1,1,0,6.75,6.75,0,0
Graham Neubig,Carnegie Mellon University,3,3,0,6.666666666666667,6.666666666666667,0,3
Soheil Kolouri,"HRL Laboratories, LLC",1,1,0,6.75,6.75,1,0
Navid Naderializadeh,HRL Laboratories,1,1,0,6.75,6.75,0,0
Gustavo K. Rohde,,1,1,0,6.75,6.75,0,0
Heiko Hoffmann,,1,1,0,6.75,6.75,0,1
Alexia Jolicoeur-Martineau,University of Montreal,1,1,0,6.75,6.75,1,0
Rémi Piché-Taillefer,University of Montreal,1,1,0,6.75,6.75,0,0
Ioannis Mitliagkas,University of Montreal,1,1,0,6.75,6.75,0,0
Remi Tachet des Combes,Microsoft Research,3,1,2,5.6933333333333325,6.75,0,2
Satya Narayan Shukla,"College of Information and Computer Sciences, University of Massachusetts, Amherst",1,1,0,6.75,6.75,1,0
Benjamin Marlin,"University of Massachusetts, Amherst",1,1,0,6.75,6.75,0,1
Javier Antoran,University of Cambridge,2,1,1,6.125,6.75,1,0
Umang Bhatt,University of Cambridge,1,1,0,6.75,6.75,0,0
Tameem Adel,University of Cambridge,1,1,0,6.75,6.75,0,0
José Miguel Hernández-Lobato,University of Cambridge,8,4,4,5.865,6.710000000000001,0,5
Benyou Wang,Universita' degli studi di Padova,1,1,0,6.75,6.75,1,0
Lifeng Shang,Huawei Technologies Ltd.,2,2,0,6.71,6.71,0,0
Christina Lioma,University of Copenhagen,1,1,0,6.75,6.75,0,0
Xin Jiang,Huawei Technologies Ltd.,2,2,0,6.71,6.71,0,0
Hao Yang,"Beijing University of Post and Telecommunication, Tsinghua University",1,1,0,6.75,6.75,0,0
Qun Liu,"Noah's Ark Lab, Huawei Technologies Ltd.",2,2,0,6.71,6.71,0,0
Jakob Grue Simonsen,University of Copenhagen,1,1,0,6.75,6.75,0,1
Songwei Ge,"University of Maryland, College Park",1,1,0,6.75,6.75,1,0
Vedanuj Goswami,Georgia Institute of Technology,2,2,0,6.625,6.625,0,0
Larry Zitnick,Facebook,2,1,1,6.5,6.75,0,1
Devi Parikh,Georgia Institute of Technology,2,1,1,6.5,6.75,0,1
Joseph D Viviano,University of Montreal,1,1,0,6.75,6.75,1,0
Becks Simpson,University of Queensland,1,1,0,6.75,6.75,0,0
Francis Dutil,,1,1,0,6.75,6.75,0,0
Joseph Paul Cohen,Stanford University,1,1,0,6.75,6.75,0,1
Carl Allen,University of Edinburgh,2,1,1,5.75,6.75,2,0
Ivana Balazevic,Facebook AI Research,2,1,1,5.75,6.75,0,0
Timothy Hospedales,University of Edinburgh,4,2,2,5.75,6.5,0,2
Laurent Meunier,Univeristé Paris-Dauphine,1,0,1,6.75,0.0,1,0
Herilalaina Rakotoarison,INRIA,2,0,2,6.375,0.0,0,0
Jeremy Rapin,Facebook,2,0,2,5.5,0.0,0,0
Paco Wong,"Department of Computer Science and Engineering, The Chinese University of Hong Kong",1,0,1,6.75,0.0,0,0
Baptiste Roziere,,1,0,1,6.75,0.0,0,0
Olivier Teytaud,Facebook,1,0,1,6.75,0.0,0,0
Antoine Moreau,,1,0,1,6.75,0.0,0,0
Carola Doerr,"LIP6, CNRS, Sorbonne Université",1,0,1,6.75,0.0,0,1
Xiaoyu Chen,Peking University,1,1,0,6.75,6.75,1,0
Jiachen Hu,Peking University,1,1,0,6.75,6.75,0,0
Lihong Li,Amazon,3,2,1,5.723333333333334,6.75,0,0
Liwei Wang,Peking University,6,1,5,5.625,6.75,0,4
Minjia Zhang,Microsoft AI and Research,1,1,0,6.75,6.75,1,0
Menghao Li,Peking University,1,1,0,6.75,6.75,0,0
Chi Wang,Microsoft Research,2,2,0,6.54,6.54,1,0
Mingqin Li,"Tsinghua University, Tsinghua University",1,1,0,6.75,6.75,0,1
Edouard Grave,Facebook,3,2,1,6.183333333333334,6.275,0,1
Cheng Wang,Amazon Alexa AI,1,1,0,6.75,6.75,1,0
Carolin Lawrence,NEC Laboratories Europe,1,1,0,6.75,6.75,0,0
Mathias Niepert,NEC,2,1,1,5.875,6.75,0,2
Elan Rosenfeld,"CMU, Carnegie Mellon University",1,1,0,6.75,6.75,1,0
Pradeep Kumar Ravikumar,Carnegie Mellon University,5,2,3,6.1,6.75,0,3
Andrej Risteski,Carnegie Mellon University,2,1,1,6.25,6.75,0,2
Kaidi Cao,Stanford University,3,2,1,6.25,6.375,3,0
Junwei Lu,Princeton University,1,1,0,6.75,6.75,0,0
Nikos Arechiga,,1,1,0,6.75,6.75,0,0
Adrien Gaidon,Toyota Research Institute (TRI),2,1,1,6.04,6.75,0,1
Maxwell Nye,Massachusetts Institute of Technology,1,1,0,6.75,6.75,1,0
Yewen Pu,Massachusetts Institute of Technology,2,1,1,6.375,6.75,0,0
Matthew Bowers,Massachusetts Institute of Technology,1,1,0,6.75,6.75,0,0
Armando Solar-Lezama,Massachusetts Institute of Technology,2,1,1,6.375,6.75,0,1
Wangchunshu Zhou,Beihang University,1,1,0,6.75,6.75,1,0
Dong-Ho Lee,University of Southern California,1,1,0,6.75,6.75,0,0
Ravi Kiran Selvam,University of Southern California,1,1,0,6.75,6.75,0,0
Seyeon Lee,University of Southern California,1,1,0,6.75,6.75,0,0
Xiang Ren,University of Southern California,4,2,2,5.9375,6.25,0,4
Pieter-Jan Hoedt,LIT AI Lab,1,0,1,6.75,0.0,1,0
Frederik Kratzert,Johannes Kepler University Linz,1,0,1,6.75,0.0,0,0
Daniel Klotz,Johannes Kepler University Linz,1,0,1,6.75,0.0,0,0
Christina Halmich,,1,0,1,6.75,0.0,0,0
Markus Holzleitner,Johannes Kepler University Linz,2,1,1,6.71,6.67,0,0
Grey Nearing,,1,0,1,6.75,0.0,0,0
Sepp Hochreiter,Johannes Kepler University Linz,4,1,3,6.067500000000001,6.67,0,3
Günter Klambauer,Johannes Kepler University Linz,3,1,2,6.006666666666667,6.67,0,1
Jongmin Lee,Korea Advanced Institute of Science and Technology,2,2,0,6.375,6.375,0,0
Yige Li,Xidian University,1,1,0,6.75,6.75,1,0
Nodens Koren,The University of Melbourne,1,1,0,6.75,6.75,0,0
Lingjuan Lyu,the University of Melbourne,2,1,1,6.125,6.75,0,0
Xixiang Lyu,,1,1,0,6.75,6.75,0,0
Bo Li,"University of Illinois, Urbana Champaign",6,2,4,5.625,6.375,0,3
Albert Jiang,University of Oxford,1,1,0,6.75,6.75,0,0
Jiaheng Wei,"University of California, Santa Cruz",1,1,0,6.75,6.75,1,0
Yang Liu,Harvard University,3,2,1,6.473333333333334,6.71,0,3
Firas Jarboui,ENS Paris-Saclay,1,0,1,6.75,0.0,1,0
Vianney Perchet,Ensae ParisTech,1,0,1,6.75,0.0,0,1
Alexandre Rame,LIP6,1,1,0,6.75,6.75,1,0
Matthieu Cord,LIP6,2,1,1,5.625,6.75,0,1
Zhenyu Liao,University of California Berkeley,1,1,0,6.75,6.75,1,0
Romain Couillet,,2,2,0,6.625,6.625,0,1
Michael W. Mahoney,University of California Berkeley,3,3,0,6.5,6.5,0,3
Weitong ZHANG,"University of California, Los Angeles",1,1,0,6.75,6.75,1,0
Dongruo Zhou,"University of California, Los Angeles",1,1,0,6.75,6.75,0,0
Quanquan Gu,"University of California, Los Angeles",4,3,1,6.27,6.609999999999999,0,3
Jiaojiao Zhao,University of Amsterdam,1,1,0,6.75,6.75,1,0
Cees G. M. Snoek,University of Amsterdam,4,3,1,6.3125,6.333333333333333,0,4
Daochen Zha,Texas A&M,1,1,0,6.75,6.75,1,0
Wenye Ma,,1,1,0,6.75,6.75,0,0
Lei Yuan,,1,1,0,6.75,6.75,0,0
Xia Hu,Texas A&M,2,1,1,6.0,6.75,0,1
Ji Liu,Kwai Inc.,5,2,3,6.15,6.75,0,3
Phillip Lippe,University of Amsterdam,1,1,0,6.75,6.75,1,0
Efstratios Gavves,University of Amsterdam,3,1,2,5.223333333333334,6.75,0,2
Jiayi Shen,Texas A&M,2,2,0,6.75,6.75,2,0
Xiaohan Chen,"University of Texas, Austin",3,2,1,6.066666666666666,6.5,1,0
Howard Heaton,"University of California, Los Angeles",1,1,0,6.75,6.75,0,0
Jialin Liu,"Department of Mathematics, UCLA",1,1,0,6.75,6.75,0,0
Wotao Yin,University of California-Los Angeles,1,1,0,6.75,6.75,0,0
Yuping Luo,Princeton University,1,1,0,6.75,6.75,0,0
Kaifeng Lyu,Tsinghua University,1,1,0,6.75,6.75,0,1
Chaojian Li,Rice University,1,1,0,6.75,6.75,1,0
Zhongzhi Yu,Rice University,1,1,0,6.75,6.75,0,0
Yongan Zhang,Rice University,2,1,1,6.125,6.75,0,0
Yang Zhao,Rice University,1,1,0,6.75,6.75,0,0
Haoran You,Rice University,2,1,1,6.125,6.75,0,0
Qixuan Yu,Rice University,1,1,0,6.75,6.75,0,0
Yue Wang,Rice University,2,1,1,6.375,6.75,0,0
Cong Hao,,1,1,0,6.75,6.75,0,0
Paul Michel,"School of Computer Science, Carnegie Mellon University",1,1,0,6.75,6.75,1,0
Tatsunori Hashimoto,Stanford University,2,1,1,6.0,6.75,1,0
Dan A. Calian,Google,1,1,0,6.75,6.75,1,0
Zhongwen Xu,DeepMind,1,1,0,6.75,6.75,0,0
Junhyuk Oh,DeepMind,1,1,0,6.75,6.75,0,0
Nir Levine,DeepMind,1,1,0,6.75,6.75,0,0
Timothy Mann,,3,2,1,5.75,6.375,0,2
Daniel Hsu,Columbia University,2,1,1,6.375,6.75,1,1
Ziwei Ji,"University of Illinois, Urbana Champaign",1,1,0,6.75,6.75,0,0
Matus Telgarsky,"Department of Computer Science, University of Illinois, Urbana Champaign",1,1,0,6.75,6.75,0,0
Lan Wang,University of Illinois at Urbana-Champaign,1,1,0,6.75,6.75,0,1
Samira Abnar,University of Amsterdam,2,1,1,5.875,6.75,1,0
Yikang Shen,University of Montreal,3,2,1,5.666666666666667,6.125,1,0
Dara Bahri,Google Research,5,2,3,5.715999999999999,6.54,1,0
Philip Pham,Google Research,1,1,0,6.75,6.75,0,0
Jinfeng Rao,"University of Maryland, College Park",1,1,0,6.75,6.75,0,0
Liu Yang,"University of Massachusetts, Amherst",1,1,0,6.75,6.75,0,0
Sebastian Ruder,Google,2,2,0,6.375,6.375,0,1
Donald Metzler,Google,4,2,2,5.895,6.54,0,1
Juntang Zhuang,Yale University,1,1,0,6.75,6.75,1,0
Nicha C Dvornek,Yale University,1,1,0,6.75,6.75,0,0
sekhar tatikonda,Yale University,1,1,0,6.75,6.75,0,0
James s Duncan,Yale University,1,1,0,6.75,6.75,0,1
Ruihan Yang,"University of California, Irvine",1,1,0,6.75,6.75,1,0
Yibo Yang,"University of California, Irvine",1,1,0,6.75,6.75,0,0
Joseph Marino,California Institute of Technology,2,1,1,6.0,6.75,1,0
Stephan Mandt,"University of California, Irvine",2,1,1,6.375,6.75,0,1
Erik Jones,Stanford University,1,1,0,6.75,6.75,1,0
Shiori Sagawa,Stanford University,1,1,0,6.75,6.75,0,0
Pang Wei Koh,Stanford University,1,1,0,6.75,6.75,0,0
Martijn Gösgens,Eindhoven University of Technology,1,0,1,6.75,0.0,1,0
Liudmila Prokhorenkova,Moscow Institute of Physics and Technology,3,2,1,6.666666666666667,6.625,0,1
Aleksei Tikhonov,Moscow Institute of Physics and Technology,1,0,1,6.75,0.0,0,1
Imanol Schlag,IDSIA,1,1,0,6.75,6.75,1,0
Tsendsuren Munkhdalai,Microsoft,1,1,0,6.75,6.75,0,0
Xinyue Chen,New York University,1,1,0,6.75,6.75,1,0
Che Wang,New York University,1,1,0,6.75,6.75,0,0
Zijian Zhou,New York University,1,1,0,6.75,6.75,0,0
Keith W. Ross,New York University,2,1,1,6.25,6.75,0,2
Guolin Ke,Microsoft,3,2,1,6.0,6.5,1,0
Di He,Microsoft,6,2,4,5.583333333333333,6.5,0,0
Justin Bayer,VW Group,2,2,0,6.5,6.5,1,1
Maximilian Soelch,Technical University Munich,1,1,0,6.75,6.75,0,0
Atanas Mirchev,Technical University Munich,2,2,0,6.5,6.5,1,0
Baris Kayalibay,"Data Lab, Volkswagen Group",2,2,0,6.5,6.5,0,0
Patrick van der Smagt,"Machine Learning Research Lab, Volkswagen Group",2,2,0,6.5,6.5,0,1
Tatsuya Matsushima,The University of Tokyo,1,1,0,6.75,6.75,1,0
Hiroki Furuta,The University of Tokyo,1,1,0,6.75,6.75,0,0
Yutaka Matsuo,University of Tokyo,5,2,3,5.7,6.125,0,4
Ofir Nachum,Massachusetts Institute of Technology,6,4,2,6.153333333333333,6.5625,0,1
Shixiang Gu,University of Cambridge,2,1,1,6.125,6.75,0,2
Haotao Wang,"University of Texas, Austin",2,1,1,5.875,6.75,1,0
Shupeng Gui,University of Rochester,1,1,0,6.75,6.75,0,0
Jianchao Tan,Kwai Inc.,1,1,0,6.75,6.75,0,0
Dihan Zheng,Tsinghua University,1,1,0,6.75,6.75,1,0
Sia Huat Tan,"Tsinghua University, Tsinghua University",1,1,0,6.75,6.75,0,0
Xiaowen Zhang,Hisilicon,1,1,0,6.75,6.75,0,0
Zuoqiang Shi,"Tsinghua University, Tsinghua University",3,1,2,5.583333333333333,6.75,0,1
Kaisheng Ma,"Institute for Interdisciplinary Information Sciences (IIIS), Tsinghua University",2,2,0,6.54,6.54,0,1
Chenglong Bao,"Tsinghua University, Tsinghua University",2,1,1,5.75,6.75,0,1
Xin Wang,Shanghai Jiao Tong University,1,1,0,6.75,6.75,1,0
Jie Ren,Shanghai Jiao Tong University,1,1,0,6.75,6.75,0,0
Shuyun Lin,Shanghai Jiao Tong University,1,1,0,6.75,6.75,0,0
Xiangming Zhu,Shanghai Jiao Tong University,1,1,0,6.75,6.75,0,0
Quanshi Zhang,Shanghai Jiao Tong University,2,2,0,6.625,6.625,0,2
Cheng-Yu Hsieh,National Taiwan University,1,1,0,6.75,6.75,1,0
Chih-Kuan Yeh,"School of Computer Science, Carnegie Mellon University",1,1,0,6.75,6.75,0,0
Xuanqing Liu,"University of California, Los Angeles",2,1,1,6.375,6.75,0,0
Seungyeon Kim,Google,3,1,2,5.723333333333334,6.75,1,0
Junkun Chen,"Tsinghua University, Tsinghua University",1,1,0,6.75,6.75,0,0
Louis-Pascal Xhonneux,"Montreal Institute for Learning Algorithms, University of Montreal, University of Montreal",1,1,0,6.75,6.75,0,0
Florian Tramer,Stanford University,1,1,0,6.75,6.75,1,0
Dan Boneh,Stanford University,1,1,0,6.75,6.75,0,1
Da Yu,SUN YAT-SEN UNIVERSITY,2,1,1,5.5,6.75,1,0
Huishuai Zhang,Microsoft Research Asia,2,1,1,5.5,6.75,1,0
Wei Chen,Microsoft,5,1,4,5.55,6.75,0,0
Tao Zhuo,National University of Singapore,1,1,0,6.75,6.75,1,0
Francesco Faccio,The Swiss AI Lab IDSIA,1,1,0,6.75,6.75,1,0
Louis Kirsch,IDSIA,1,1,0,6.75,6.75,0,0
Zirui Wang,"School of Computer Science, Carnegie Mellon University",1,1,0,6.75,6.75,1,0
